Sample	Coverage	D	Z.score	Filter	Data Type	Software
Kolyma1	0.0625X	-0.0604	-8.419	Pseudohaploid	Pseudohaploid	Admixtools
Loschbour	0.0625X	-0.0424	-6.284	Pseudohaploid	Pseudohaploid	Admixtools
Mota	0.0625X	0.0256	5.279	Pseudohaploid	Pseudohaploid	Admixtools
NE1	0.0625X	-0.0157	-2.34	Pseudohaploid	Pseudohaploid	Admixtools
PB675	0.0625X	-0.0169	-2.653	Pseudohaploid	Pseudohaploid	Admixtools
sf12	0.0625X	-0.0405	-6.895	Pseudohaploid	Pseudohaploid	Admixtools
SRA62	0.0625X	-0.0378	-4.754	Pseudohaploid	Pseudohaploid	Admixtools
Stuttgart	0.0625X	-0.0151	-2.845	Pseudohaploid	Pseudohaploid	Admixtools
USR1	0.0625X	-0.0326	-5.77	Pseudohaploid	Pseudohaploid	Admixtools
Ust_Ishim	0.0625X	-0.0412	-4.517	Pseudohaploid	Pseudohaploid	Admixtools
WC1	0.0625X	-0.0139	-2.136	Pseudohaploid	Pseudohaploid	Admixtools
Yamnaya	0.0625X	-0.024	-5.305	Pseudohaploid	Pseudohaploid	Admixtools
Yana1	0.0625X	-0.0392	-6.048	Pseudohaploid	Pseudohaploid	Admixtools
2H10	0.0625X	-0.0528	-4.956	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H11	0.0625X	-0.0509	-6.151	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
atp016	0.0625X	-0.0526	-7.03	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BA64	0.0625X	-0.0634	-5.78	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BOT2016	0.0625X	-0.0572	-6.485	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
JP14	0.0625X	-0.0624	-5.437	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
KK1	0.0625X	-0.0487	-4.528	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Kolyma1	0.0625X	-0.074	-5.744	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Loschbour	0.0625X	-0.0655	-6.605	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Mota	0.0625X	-0.0046	-0.515	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
NE1	0.0625X	-0.0621	-6.665	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
PB675	0.0625X	-0.0548	-5.932	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
sf12	0.0625X	-0.0532	-5.723	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
SRA62	0.0625X	-0.0521	-4.582	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Stuttgart	0.0625X	-0.043	-4.53	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
USR1	0.0625X	-0.049	-5.161	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Ust_Ishim	0.0625X	-0.0631	-5.274	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
WC1	0.0625X	-0.0557	-4.888	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yamnaya	0.0625X	-0.0496	-4.652	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yana1	0.0625X	-0.0695	-7.49	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H10	0.0625X	-0.045153722	NA	Imputed GP Weighted	Imputed	New Script
2H11	0.0625X	-0.048067934	NA	Imputed GP Weighted	Imputed	New Script
BA64	0.0625X	-0.051070592	NA	Imputed GP Weighted	Imputed	New Script
BOT2016	0.0625X	-0.048742897	NA	Imputed GP Weighted	Imputed	New Script
JP14	0.0625X	-0.049292909	NA	Imputed GP Weighted	Imputed	New Script
KK1	0.0625X	-0.040215028	NA	Imputed GP Weighted	Imputed	New Script
Kolyma1	0.0625X	-0.056897734	NA	Imputed GP Weighted	Imputed	New Script
Stuttgart	0.0625X	-0.047556156	NA	Imputed GP Weighted	Imputed	New Script
Loschbour	0.0625X	-0.054511497	NA	Imputed GP Weighted	Imputed	New Script
Mota	0.0625X	-0.014001828	NA	Imputed GP Weighted	Imputed	New Script
NE1	0.0625X	-0.046805825	NA	Imputed GP Weighted	Imputed	New Script
PB675	0.0625X	-0.050391322	NA	Imputed GP Weighted	Imputed	New Script
SRA62	0.0625X	-0.054843008	NA	Imputed GP Weighted	Imputed	New Script
USR1	0.0625X	-0.046203972	NA	Imputed GP Weighted	Imputed	New Script
Ust_Ishim	0.0625X	-0.050259596	NA	Imputed GP Weighted	Imputed	New Script
WC1	0.0625X	-0.042177873	NA	Imputed GP Weighted	Imputed	New Script
Yamnaya	0.0625X	-0.048105345	NA	Imputed GP Weighted	Imputed	New Script
Yana1	0.0625X	-0.056645507	NA	Imputed GP Weighted	Imputed	New Script
atp016	0.0625X	-0.046616383	NA	Imputed GP Weighted	Imputed	New Script
sf12	0.0625X	-0.049206896	NA	Imputed GP Weighted	Imputed	New Script
2H10	0.0625X	-0.0195	-5.852	Imputed Filtered MAF05	Imputed	Admixtools
2H11	0.0625X	-0.0216	-6.086	Imputed Filtered MAF05	Imputed	Admixtools
atp016	0.0625X	-0.0231	-5.017	Imputed Filtered MAF05	Imputed	Admixtools
BA64	0.0625X	-0.0255	-5.807	Imputed Filtered MAF05	Imputed	Admixtools
BOT2016	0.0625X	-0.0232	-6.776	Imputed Filtered MAF05	Imputed	Admixtools
JP14	0.0625X	-0.0251	-4.309	Imputed Filtered MAF05	Imputed	Admixtools
KK1	0.0625X	-0.0146	-3.088	Imputed Filtered MAF05	Imputed	Admixtools
Kolyma1	0.0625X	-0.0301	-6.006	Imputed Filtered MAF05	Imputed	Admixtools
Stuttgart	0.0625X	-0.0237	-6.298	Imputed Filtered MAF05	Imputed	Admixtools
Loschbour	0.0625X	-0.0263	-6.204	Imputed Filtered MAF05	Imputed	Admixtools
Mota	0.0625X	-0.0109	-4.059	Imputed Filtered MAF05	Imputed	Admixtools
NE1	0.0625X	-0.0223	-5.078	Imputed Filtered MAF05	Imputed	Admixtools
PB675	0.0625X	-0.022	-4.109	Imputed Filtered MAF05	Imputed	Admixtools
sf12	0.0625X	-0.0216	-3.346	Imputed Filtered MAF05	Imputed	Admixtools
SRA62	0.0625X	-0.0287	-6.122	Imputed Filtered MAF05	Imputed	Admixtools
USR1	0.0625X	-0.0167	-4.044	Imputed Filtered MAF05	Imputed	Admixtools
Ust_Ishim	0.0625X	-0.019	-4.385	Imputed Filtered MAF05	Imputed	Admixtools
WC1	0.0625X	-0.0136	-3.546	Imputed Filtered MAF05	Imputed	Admixtools
Yamnaya	0.0625X	-0.0206	-5.015	Imputed Filtered MAF05	Imputed	Admixtools
Yana1	0.0625X	-0.03	-6.435	Imputed Filtered MAF05	Imputed	Admixtools
2H10	0.5X	-0.0593	-16.027	Imputed Filtered GP99	Imputed	Admixtools
2H11	0.5X	-0.0633	-15.331	Imputed Filtered GP99	Imputed	Admixtools
atp016	0.5X	-0.0611	-11.174	Imputed Filtered GP99	Imputed	Admixtools
BA64	0.5X	-0.0659	-12.468	Imputed Filtered GP99	Imputed	Admixtools
BOT2016	0.5X	-0.0652	-14.265	Imputed Filtered GP99	Imputed	Admixtools
JP14	0.5X	-0.0622	-9.849	Imputed Filtered GP99	Imputed	Admixtools
KK1	0.5X	-0.0545	-10.298	Imputed Filtered GP99	Imputed	Admixtools
Kolyma1	0.5X	-0.0754	-12.301	Imputed Filtered GP99	Imputed	Admixtools
Loschbour	0.5X	-0.0709	-16.346	Imputed Filtered GP99	Imputed	Admixtools
Mota	0.5X	-0.0256	-6.73	Imputed Filtered GP99	Imputed	Admixtools
NE1	0.5X	-0.0617	-12.429	Imputed Filtered GP99	Imputed	Admixtools
PB675	0.5X	-0.0664	-9.429	Imputed Filtered GP99	Imputed	Admixtools
sf12	0.5X	-0.0636	-9.066	Imputed Filtered GP99	Imputed	Admixtools
SRA62	0.5X	-0.0702	-14.625	Imputed Filtered GP99	Imputed	Admixtools
Stuttgart	0.5X	-0.0614	-12.724	Imputed Filtered GP99	Imputed	Admixtools
USR1	0.5X	-0.0597	-12.844	Imputed Filtered GP99	Imputed	Admixtools
Ust_Ishim	0.5X	-0.0665	-10.077	Imputed Filtered GP99	Imputed	Admixtools
WC1	0.5X	-0.0569	-11.542	Imputed Filtered GP99	Imputed	Admixtools
Yamnaya	0.5X	-0.0626	-12.805	Imputed Filtered GP99	Imputed	Admixtools
Yana1	0.5X	-0.0758	-12.745	Imputed Filtered GP99	Imputed	Admixtools
2H10	0.5X	-0.0509	-16.394	Imputed Raw	Imputed	Admixtools
2H11	0.5X	-0.0555	-14.155	Imputed Raw	Imputed	Admixtools
atp016	0.5X	-0.0524	-10.648	Imputed Raw	Imputed	Admixtools
BA64	0.5X	-0.0578	-12.183	Imputed Raw	Imputed	Admixtools
BOT2016	0.5X	-0.0562	-13.558	Imputed Raw	Imputed	Admixtools
JP14	0.5X	-0.056	-9.511	Imputed Raw	Imputed	Admixtools
KK1	0.5X	-0.0445	-9.634	Imputed Raw	Imputed	Admixtools
Kolyma1	0.5X	-0.0647	-10.932	Imputed Raw	Imputed	Admixtools
Loschbour	0.5X	-0.0606	-14.903	Imputed Raw	Imputed	Admixtools
Mota	0.5X	-0.009	-3.396	Imputed Raw	Imputed	Admixtools
NE1	0.5X	-0.052	-11.304	Imputed Raw	Imputed	Admixtools
PB675	0.5X	-0.0584	-9.512	Imputed Raw	Imputed	Admixtools
sf12	0.5X	-0.0559	-8.564	Imputed Raw	Imputed	Admixtools
SRA62	0.5X	-0.0613	-13.438	Imputed Raw	Imputed	Admixtools
Stuttgart	0.5X	-0.0535	-12.322	Imputed Raw	Imputed	Admixtools
USR1	0.5X	-0.0518	-11.337	Imputed Raw	Imputed	Admixtools
Ust_Ishim	0.5X	-0.0616	-9.106	Imputed Raw	Imputed	Admixtools
WC1	0.5X	-0.0464	-10.465	Imputed Raw	Imputed	Admixtools
Yamnaya	0.5X	-0.0544	-12.673	Imputed Raw	Imputed	Admixtools
Yana1	0.5X	-0.0671	-13.241	Imputed Raw	Imputed	Admixtools
2H10	0.5X	-0.0295	-7.88	Pseudohaploid	Pseudohaploid	Admixtools
2H11	0.5X	-0.0397	-10.027	Pseudohaploid	Pseudohaploid	Admixtools
atp016	0.5X	-0.0268	-4.669	Pseudohaploid	Pseudohaploid	Admixtools
BA64	0.5X	-0.0239	-5.252	Pseudohaploid	Pseudohaploid	Admixtools
BOT2016	0.5X	-0.0302	-6.42	Pseudohaploid	Pseudohaploid	Admixtools
JP14	0.5X	-0.0263	-4.242	Pseudohaploid	Pseudohaploid	Admixtools
KK1	0.5X	0.0058	1.037	Pseudohaploid	Pseudohaploid	Admixtools
Kolyma1	0.5X	-0.0506	-7.894	Pseudohaploid	Pseudohaploid	Admixtools
Loschbour	0.5X	-0.0414	-7.843	Pseudohaploid	Pseudohaploid	Admixtools
Mota	0.5X	0.0316	10.164	Pseudohaploid	Pseudohaploid	Admixtools
NE1	0.5X	-0.0113	-2.619	Pseudohaploid	Pseudohaploid	Admixtools
PB675	0.5X	-0.0261	-4.293	Pseudohaploid	Pseudohaploid	Admixtools
sf12	0.5X	-0.0401	-5.946	Pseudohaploid	Pseudohaploid	Admixtools
SRA62	0.5X	-0.0496	-9.454	Pseudohaploid	Pseudohaploid	Admixtools
Stuttgart	0.5X	-0.02	-4.277	Pseudohaploid	Pseudohaploid	Admixtools
USR1	0.5X	-0.0327	-6.844	Pseudohaploid	Pseudohaploid	Admixtools
Ust_Ishim	0.5X	-0.04	-5.369	Pseudohaploid	Pseudohaploid	Admixtools
WC1	0.5X	-0.0128	-2.485	Pseudohaploid	Pseudohaploid	Admixtools
Yamnaya	0.5X	-0.028	-6.289	Pseudohaploid	Pseudohaploid	Admixtools
Yana1	0.5X	-0.0379	-7.309	Pseudohaploid	Pseudohaploid	Admixtools
2H10	0.5X	-0.0527	-11.669	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H11	0.5X	-0.0612	-11.132	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
atp016	0.5X	-0.0526	-9.237	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BA64	0.5X	-0.0666	-10.992	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BOT2016	0.5X	-0.057	-9.692	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
JP14	0.5X	-0.0553	-7.317	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
KK1	0.5X	-0.0517	-7.35	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Kolyma1	0.5X	-0.0625	-7.717	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Loschbour	0.5X	-0.0616	-11.768	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Mota	0.5X	5.00E-04	0.097	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
NE1	0.5X	-0.0531	-10.386	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
PB675	0.5X	-0.0585	-9.135	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
sf12	0.5X	-0.0551	-7.713	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
SRA62	0.5X	-0.0634	-10.755	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Stuttgart	0.5X	-0.051	-9.982	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
USR1	0.5X	-0.0469	-7.277	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Ust_Ishim	0.5X	-0.0609	-6.692	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
WC1	0.5X	-0.0489	-8.532	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yamnaya	0.5X	-0.0506	-10.039	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Yana1	0.5X	-0.0709	-12.05	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H10	0.5X	-0.045222195	NA	Imputed GP Weighted	Imputed	New Script
2H11	0.5X	-0.049406213	NA	Imputed GP Weighted	Imputed	New Script
BA64	0.5X	-0.051113681	NA	Imputed GP Weighted	Imputed	New Script
BOT2016	0.5X	-0.049381054	NA	Imputed GP Weighted	Imputed	New Script
JP14	0.5X	-0.049653298	NA	Imputed GP Weighted	Imputed	New Script
KK1	0.5X	-0.038210008	NA	Imputed GP Weighted	Imputed	New Script
Kolyma1	0.5X	-0.058910369	NA	Imputed GP Weighted	Imputed	New Script
Stuttgart	0.5X	-0.047038576	NA	Imputed GP Weighted	Imputed	New Script
Loschbour	0.5X	-0.05474872	NA	Imputed GP Weighted	Imputed	New Script
Mota	0.5X	-0.004649052	NA	Imputed GP Weighted	Imputed	New Script
NE1	0.5X	-0.044431149	NA	Imputed GP Weighted	Imputed	New Script
PB675	0.5X	-0.052128057	NA	Imputed GP Weighted	Imputed	New Script
SRA62	0.5X	-0.055521195	NA	Imputed GP Weighted	Imputed	New Script
USR1	0.5X	-0.046704562	NA	Imputed GP Weighted	Imputed	New Script
Ust_Ishim	0.5X	-0.054917519	NA	Imputed GP Weighted	Imputed	New Script
WC1	0.5X	-0.040302982	NA	Imputed GP Weighted	Imputed	New Script
Yamnaya	0.5X	-0.048427366	NA	Imputed GP Weighted	Imputed	New Script
Yana1	0.5X	-0.05964769	NA	Imputed GP Weighted	Imputed	New Script
atp016	0.5X	-0.046357123	NA	Imputed GP Weighted	Imputed	New Script
sf12	0.5X	-0.050017996	NA	Imputed GP Weighted	Imputed	New Script
2H10	0.5X	-0.0192	-6.156	Imputed Filtered MAF05	Imputed	Admixtools
2H11	0.5X	-0.021	-6.343	Imputed Filtered MAF05	Imputed	Admixtools
atp016	0.5X	-0.0197	-4.201	Imputed Filtered MAF05	Imputed	Admixtools
BA64	0.5X	-0.0242	-5.694	Imputed Filtered MAF05	Imputed	Admixtools
BOT2016	0.5X	-0.0226	-6.766	Imputed Filtered MAF05	Imputed	Admixtools
JP14	0.5X	-0.0246	-4.218	Imputed Filtered MAF05	Imputed	Admixtools
KK1	0.5X	-0.0122	-2.681	Imputed Filtered MAF05	Imputed	Admixtools
Kolyma1	0.5X	-0.03	-5.637	Imputed Filtered MAF05	Imputed	Admixtools
Stuttgart	0.5X	-0.022	-5.45	Imputed Filtered MAF05	Imputed	Admixtools
Loschbour	0.5X	-0.0245	-5.652	Imputed Filtered MAF05	Imputed	Admixtools
Mota	0.5X	-0.0037	-1.328	Imputed Filtered MAF05	Imputed	Admixtools
NE1	0.5X	-0.0186	-4.379	Imputed Filtered MAF05	Imputed	Admixtools
PB675	0.5X	-0.0225	-4.148	Imputed Filtered MAF05	Imputed	Admixtools
sf12	0.5X	-0.0214	-3.375	Imputed Filtered MAF05	Imputed	Admixtools
SRA62	0.5X	-0.0271	-5.793	Imputed Filtered MAF05	Imputed	Admixtools
USR1	0.5X	-0.0169	-3.903	Imputed Filtered MAF05	Imputed	Admixtools
Ust_Ishim	0.5X	-0.0173	-3.781	Imputed Filtered MAF05	Imputed	Admixtools
WC1	0.5X	-0.0103	-2.833	Imputed Filtered MAF05	Imputed	Admixtools
Yamnaya	0.5X	-0.0202	-4.803	Imputed Filtered MAF05	Imputed	Admixtools
Yana1	0.5X	-0.0283	-5.769	Imputed Filtered MAF05	Imputed	Admixtools
2H10	1X	-0.0555	-16.941	Imputed Filtered GP99	Imputed	Admixtools
2H11	1X	-0.0601	-14.703	Imputed Filtered GP99	Imputed	Admixtools
atp016	1X	-0.0572	-11.176	Imputed Filtered GP99	Imputed	Admixtools
BA64	1X	-0.0623	-12.501	Imputed Filtered GP99	Imputed	Admixtools
BOT2016	1X	-0.0609	-13.285	Imputed Filtered GP99	Imputed	Admixtools
JP14	1X	-0.0594	-9.713	Imputed Filtered GP99	Imputed	Admixtools
KK1	1X	-0.0509	-10.476	Imputed Filtered GP99	Imputed	Admixtools
Kolyma1	1X	-0.0701	-11.673	Imputed Filtered GP99	Imputed	Admixtools
Loschbour	1X	-0.0662	-15.781	Imputed Filtered GP99	Imputed	Admixtools
Mota	1X	-0.0176	-5.59	Imputed Filtered GP99	Imputed	Admixtools
NE1	1X	-0.0568	-11.864	Imputed Filtered GP99	Imputed	Admixtools
PB675	1X	-0.0623	-9.551	Imputed Filtered GP99	Imputed	Admixtools
sf12	1X	-0.0598	-8.882	Imputed Filtered GP99	Imputed	Admixtools
SRA62	1X	-0.066	-13.984	Imputed Filtered GP99	Imputed	Admixtools
Stuttgart	1X	-0.0579	-12.829	Imputed Filtered GP99	Imputed	Admixtools
USR1	1X	-0.057	-12.674	Imputed Filtered GP99	Imputed	Admixtools
Ust_Ishim	1X	-0.065	-9.751	Imputed Filtered GP99	Imputed	Admixtools
WC1	1X	-0.0526	-11.258	Imputed Filtered GP99	Imputed	Admixtools
Yamnaya	1X	-0.0585	-13.146	Imputed Filtered GP99	Imputed	Admixtools
Yana1	1X	-0.0722	-13.151	Imputed Filtered GP99	Imputed	Admixtools
2H10	1X	-0.0509	-14.509	Imputed Raw	Imputed	Admixtools
2H11	1X	-0.0575	-12.654	Imputed Raw	Imputed	Admixtools
atp016	1X	-0.0547	-8.941	Imputed Raw	Imputed	Admixtools
BA64	1X	-0.0602	-10.557	Imputed Raw	Imputed	Admixtools
BOT2016	1X	-0.0565	-10.887	Imputed Raw	Imputed	Admixtools
JP14	1X	-0.0555	-6.94	Imputed Raw	Imputed	Admixtools
KK1	1X	-0.0469	-8.446	Imputed Raw	Imputed	Admixtools
Kolyma1	1X	-0.0652	-8.585	Imputed Raw	Imputed	Admixtools
Loschbour	1X	-0.0643	-13.635	Imputed Raw	Imputed	Admixtools
Mota	1X	-0.0054	-1.714	Imputed Raw	Imputed	Admixtools
NE1	1X	-0.051	-8.815	Imputed Raw	Imputed	Admixtools
PB675	1X	-0.062	-9.719	Imputed Raw	Imputed	Admixtools
sf12	1X	-0.0592	-7.074	Imputed Raw	Imputed	Admixtools
SRA62	1X	-0.0625	-11.532	Imputed Raw	Imputed	Admixtools
Stuttgart	1X	-0.0552	-11.911	Imputed Raw	Imputed	Admixtools
USR1	1X	-0.0527	-9.19	Imputed Raw	Imputed	Admixtools
Ust_Ishim	1X	-0.0586	-6.598	Imputed Raw	Imputed	Admixtools
WC1	1X	-0.0462	-8.431	Imputed Raw	Imputed	Admixtools
Yamnaya	1X	-0.0557	-10.32	Imputed Raw	Imputed	Admixtools
Yana1	1X	-0.0691	-11.684	Imputed Raw	Imputed	Admixtools
2H10	1X	-0.0297	-8.165	Pseudohaploid	Pseudohaploid	Admixtools
2H11	1X	-0.0383	-10.166	Pseudohaploid	Pseudohaploid	Admixtools
atp016	1X	-0.0268	-5.365	Pseudohaploid	Pseudohaploid	Admixtools
BA64	1X	-0.0219	-4.24	Pseudohaploid	Pseudohaploid	Admixtools
BOT2016	1X	-0.029	-6.222	Pseudohaploid	Pseudohaploid	Admixtools
JP14	1X	-0.0285	-4.842	Pseudohaploid	Pseudohaploid	Admixtools
KK1	1X	0.0078	1.641	Pseudohaploid	Pseudohaploid	Admixtools
Kolyma1	1X	-0.05	-7.836	Pseudohaploid	Pseudohaploid	Admixtools
Loschbour	1X	-0.0412	-8.995	Pseudohaploid	Pseudohaploid	Admixtools
Mota	1X	0.035	11.471	Pseudohaploid	Pseudohaploid	Admixtools
NE1	1X	-0.0108	-2.282	Pseudohaploid	Pseudohaploid	Admixtools
PB675	1X	-0.0272	-4.673	Pseudohaploid	Pseudohaploid	Admixtools
sf12	1X	-0.0427	-6.151	Pseudohaploid	Pseudohaploid	Admixtools
SRA62	1X	-0.0492	-10.243	Pseudohaploid	Pseudohaploid	Admixtools
Stuttgart	1X	-0.0201	-4.53	Pseudohaploid	Pseudohaploid	Admixtools
USR1	1X	-0.034	-7.566	Pseudohaploid	Pseudohaploid	Admixtools
Ust_Ishim	1X	-0.0389	-5.258	Pseudohaploid	Pseudohaploid	Admixtools
WC1	1X	-0.0152	-3.46	Pseudohaploid	Pseudohaploid	Admixtools
Yamnaya	1X	-0.0272	-6.035	Pseudohaploid	Pseudohaploid	Admixtools
Yana1	1X	-0.0389	-7.59	Pseudohaploid	Pseudohaploid	Admixtools
2H10	1X	-0.0528	-13.431	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
2H11	1X	-0.0596	-12.627	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
atp016	1X	-0.0541	-9.508	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BA64	1X	-0.0602	-11.048	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
BOT2016	1X	-0.0532	-9.398	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
JP14	1X	-0.0548	-8.064	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
KK1	1X	-0.0468	-8.925	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Kolyma1	1X	-0.0641	-8.987	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Loschbour	1X	-0.0612	-12.104	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Mota	1X	4.00E-04	0.108	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
NE1	1X	-0.0529	-9.046	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
PB675	1X	-0.0588	-9.094	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
sf12	1X	-0.0572	-7.819	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
SRA62	1X	-0.0628	-11.657	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
Stuttgart	1X	-0.0519	-10.538	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
USR1	1X	-0.0499	-8.871	Pseudohaploid Only Transversions	Pseudohaploid	Admixtools
